src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
118.70.124.188,140.116.82.41,55551,445,b4:e9:b0:c9:dc:80,00:0c:29:52:36:7b,6,2022-05-10 06:30:37,702367.0,358.7867881036552,5.695028382597702,2.847514191298851,2.847514191298851,2,2,132,120,66.0,66.0,66.0,0.0,60.0,60.0,60.0,0.0,66,60,63.0,3.0,9.0,40,40,20,0,234122.33333333334,702175.0,90.0,330963.2145887045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,60.0,0,2,2,132,120
192.168.65.16,198.244.143.252,48168,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:37,1291928.0,7460.168058901116,23.99514524029203,12.384591091763628,11.6105541485284,16,15,2713,6925,676.0,66.0,169.5625,197.59458771370737,1514.0,66.0,461.6666666666667,519.4392703247951,1514,66,310.9032258064516,414.74962169876846,172017.24869927156,320,300,20,5,43064.26666666667,250576.0,4.0,89673.52224744059,1291928.0,284925.0,20.0,86128.53333333334,120341.81817244116,1000057.0,244953.0,25.0,71432.64285714286,107558.22476195803,0,0,0,0,1,0,0,0,0,0,0,0.9375,310.9032258064516,64240,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570.0,4.0,0.0,8031634.446397188,169.5625,461.6666666666667,0,16,15,2713,6925
140.116.82.41,172.16.45.119,80,45076,00:0c:29:52:36:7b,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:38,0.0,0,0,0,0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,60.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,60,0
192.168.65.16,224.0.0.251,5353,5353,00:0c:29:d6:06:2e,01:00:5e:00:00:fb,17,2022-05-10 06:30:38,7001100.0,203.9679478939024,1.1426775792375483,1.1426775792375483,0.0,8,0,1428,0,186.0,171.0,178.5,7.5,0.0,0.0,0.0,0.0,186,171,178.5,7.5,56.25,64,0,8,8,1000157.1428571428,1000770.0,999374.0,507.9359995037138,7001100.0,1000769.9999999999,999374.0,1000157.1428571428,507.93599950366263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,178.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5,0.0,0,8,0,1428,0
192.168.65.54,192.168.65.255,54915,54915,74:d0:2b:9a:42:cc,ff:ff:ff:ff:ff:ff,17,2022-05-10 06:30:38,8007811.999999999,342.79026530592876,1.1239025091997665,1.1239025091997665,0.0,9,0,2745,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,72,0,8,9,1000976.5,1004859.0,997415.0,2649.203701114733,8007812.0,1004859.0,997415.0,1000976.5,2649.203701114719,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,9,0,2745,0
192.168.65.16,198.244.143.252,47124,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:38,3578921.0,1946.117279481721,6.1471041132229525,2.235310586626528,3.911793526596424,8,14,3742,3223,1740.0,66.0,467.75,539.1900754835905,802.0,66.0,230.21428571428572,246.09556174422175,1740,66,316.59090909090907,396.6298548212643,157315.24173553722,160,280,20,6,170424.80952380953,2422156.0,3.0,514364.7273852076,3302397.0,2691560.0,12.0,471771.0,915949.0182011847,3303020.0,2690374.0,3.0,254078.46153846153,709835.5973703311,0,0,0,0,1,0,0,0,0,0,0,1.75,316.59090909090907,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.5,4.0,0.0,72916.99705033461,467.75,230.21428571428572,0,8,14,3742,3223
192.168.65.16,147.135.77.241,37424,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:38,2677737.0,1409.3990559939232,8.962792088991563,3.7344967037464842,5.228295385245078,10,14,1322,2452,242.0,66.0,132.2,66.81287301111965,430.0,66.0,175.14285714285714,127.24658689941755,430,66,157.25,108.41288745655041,11753.354166666666,200,280,20,6,116423.34782608696,1922975.0,1.0,391690.36306185933,2677737.0,2135702.0,1.0,297526.3333333333,659100.0592238548,2416856.0,1922975.0,3.0,185912.0,507151.39221644355,0,0,0,0,1,0,0,0,0,0,0,1.4,157.25,5570,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,4.0,0.0,35882.35294117647,132.2,175.14285714285714,0,10,14,1322,2452
192.168.65.16,198.244.143.252,43640,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:39,502511.00000000006,1597.9749697021557,11.940037133515485,5.970018566757743,5.970018566757743,3,3,368,435,172.0,66.0,122.66666666666667,43.583891009816405,303.0,66.0,145.0,111.72287142747452,303,66,133.83333333333334,85.53053385909749,7315.472222222222,60,60,20,2,100502.2,248680.0,82.0,118060.71257179503,253831.00000000003,253460.00000000003,371.0,126915.50000000001,126544.50000000001,261251.0,249133.0,12118.0,130625.5,118507.5,0,0,0,0,1,0,0,0,0,0,0,1.0,133.83333333333334,1318,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.66666666666667,145.0,0,3,3,368,435
192.168.65.16,198.244.143.252,43792,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:39,546745.0,2150.9113023438713,16.46105588528473,7.316024837904324,9.145031047380405,4,5,468,708,152.0,66.0,117.0,31.47220996371243,383.0,66.0,141.6,122.99040612990918,383,66,130.66666666666666,94.83318687744989,8993.333333333334,80,100,20,3,68343.125,250373.0,2.0,105355.2542014843,298766.0,297527.0,470.0,99588.66666666667,139963.5909854972,295603.0,248488.0,2.0,73900.75,102327.98245195446,0,0,0,0,1,0,0,0,0,0,0,1.25,130.66666666666666,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,141.6,0,4,5,468,708
5.188.71.165,192.168.65.16,80,39327,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:39,5304293.0,118.96024597434568,1.1311592327196103,0.5655796163598051,0.5655796163598051,3,3,274,357,142.0,66.0,91.33333333333333,35.82674358011841,225.0,66.0,119.0,74.95331880577403,225,66,105.16666666666667,60.350135781859585,3642.1388888888887,60,60,20,1,1060858.6,4820793.0,34.0,1883532.007543551,5304259.0,4996547.0,307712.0,2652129.5,2344417.5,5304144.0,4820793.0,483351.0,2652072.0,2168721.0,0,0,0,0,1,0,0,0,0,0,0,1.0,105.16666666666667,9873,7276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.33333333333333,119.0,0,3,3,274,357
140.116.82.62,224.0.0.9,520,520,b4:e9:b0:c9:dc:80,01:00:5e:00:00:09,17,2022-05-10 06:30:39,747.0,21009370.81659973,38821.954484605085,38821.954484605085,0.0,29,0,15694,0,546.0,406.0,541.1724137931035,25.54518507234777,0.0,0.0,0.0,0.0,546,406,541.1724137931035,25.54518507234777,652.5564803804994,232,0,8,29,26.678571428571427,122.0,0.0,26.562666566104404,747.0,122.0,0.0,26.678571428571427,26.562666566104404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,541.1724137931035,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14476.0,29.0,0.0,0.0,19378848.72824632,0.0,541.1724137931035,0.0,0,29,0,15694,0
192.168.65.16,147.135.77.241,37442,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:40,493185.0,2352.058558147551,18.248730192524103,8.110546752232935,10.138183440291169,4,5,492,668,172.0,66.0,123.0,37.689521090085506,343.0,66.0,133.6,107.33238094815563,343,66,128.88888888888889,84.019104235544,7059.209876543209,80,100,20,3,61648.125,263272.0,1.0,103511.23229925038,229913.0,229500.0,56.0,76637.66666666667,108090.06233795141,277026.0,263734.0,1.0,69256.5,112336.00225328477,0,0,0,0,1,0,0,0,0,0,0,1.25,128.88888888888889,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,133.6,0,4,5,492,668
192.168.65.16,104.16.168.131,55436,443,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:40,6351204.0,9393.337074356295,14.957793829327478,6.140567993092334,8.817225836235146,39,56,12173,47486,2854.0,60.0,312.12820512820514,655.1109586771006,2974.0,60.0,847.9642857142857,744.3455650120187,2974,60,627.9894736842106,756.4822117745414,572265.3367313021,780,1120,20,39,67566.0,5755097.0,0.0,591508.4781554411,6351204.0,5755097.0,0.0,167136.94736842104,921358.1101176833,6338290.0,5764963.0,0.0,115241.63636363637,771095.1645224263,0,0,0,0,1,0,0,0,0,0,0,1.435897435897436,627.9894736842106,10615,1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4343.5,7.0,4801.833333333333,5.0,143612.88829373935,65358.18718425106,312.12820512820514,847.9642857142857,0,39,56,12173,47486
192.168.65.16,198.244.143.252,47982,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:41,308643.0,427.67858010711404,6.479978486471425,3.2399892432357125,3.2399892432357125,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
45.72.44.202,140.116.82.53,59110,19,b4:e9:b0:c9:dc:80,a8:5e:45:3d:65:38,17,2022-05-10 06:30:41,0.0,0,0,0,0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60,60,60.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,60,0
192.168.65.16,198.244.143.252,47830,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:41,2810622.0,37903.7095703371,48.03207261595476,19.924415307359013,28.107657308595748,56,79,9451,97082,545.0,66.0,168.76785714285714,130.89349420035967,2962.0,66.0,1228.886075949367,806.3861403040576,2962,66,789.1333333333333,812.6722522823267,660436.1896296296,1120,1580,20,21,20974.79104477612,271410.0,0.0,65493.93758444019,2810622.0,285788.0,1.0,51102.218181818185,96053.75649796617,2542049.0,278665.0,0.0,32590.371794871793,78986.44033680539,0,0,0,0,1,0,0,0,0,0,0,1.4107142857142858,789.1333333333333,1423,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0,6.5,21225.25,15.25,1658876.1810044753,74696.35716579492,168.76785714285714,1228.886075949367,0,56,79,9451,97082
192.168.65.47,31.13.87.36,57306,443,00:0c:29:cb:61:34,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:41,17060.0,16178.194607268466,175.84994138335287,117.2332942555686,58.6166471277843,2,1,171,105,105.0,66.0,85.5,19.5,105.0,105.0,105.0,0.0,105,66,92.0,18.384776310850235,338.0,40,20,20,1,8530.0,16985.0,75.0,8455.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,92.0,501,766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,105.0,0,2,1,171,105
139.255.192.18,140.116.82.53,50301,139,b4:e9:b0:c9:dc:80,a8:5e:45:3d:65:38,6,2022-05-10 06:30:41,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
139.255.192.18,140.116.82.41,50293,139,b4:e9:b0:c9:dc:80,00:0c:29:52:36:7b,6,2022-05-10 06:30:41,1261525.0,296.46657814946195,4.756148312558214,2.378074156279107,2.378074156279107,3,3,194,180,66.0,62.0,64.66666666666667,1.8856180831641267,60.0,60.0,60.0,0.0,66,60,62.333333333333336,2.6874192494328497,7.222222222222222,60,60,20,0,252305.0,652882.0,72.0,309183.7256415674,1261351.0,652954.0,608397.0,630675.5,22278.5,1261453.0,652997.0,608456.0,630726.5,22270.5,0,0,0,0,1,0,0,0,0,0,0,1.0,62.333333333333336,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.66666666666667,60.0,0,3,3,194,180
139.255.192.18,140.116.82.51,50313,139,b4:e9:b0:c9:dc:80,00:0c:29:2a:36:2b,6,2022-05-10 06:30:41,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,8192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
